MANDT	MATNR	WERKS	ALTSL	APOKZ	AUSDT	AUSSS	BESKZ	BSTFE	BSTMA	BSTMI	BSTRF	BWESB	DIBER	DISGR	DISLS	DISMM	DISPO	DZEIT	EISBE	EKGRP	FEVOR	FHORI	FXHOR	KAUSF	KAUTB	KZAUS	LAGPR	LGRAD	LOSFX	LVORM	MAABC	MATGR	MINBE	MISKZ	MMSTA	MRPPP	NFMAT	PLIFZ	PLNTY	PRCTR	QMATV	SBDKZ	SCHGT	SHFLG	SHPRO	SHZET	SOBSL	STDPD	STRGR	TAKZT	TRAME	UMLMC	USEQU	VERKZ	VINT1	VINT2	VRMOD	WEBAZ	WZEIT
800	GC_BIKE	1000				0	E	0	0	0	0	0		0025	EX	PD	000	1	0			000	000	0				0	0				0					0				1				00			25	0	0	0			000	000		0	0
800	BIKE_GREEN	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	BIKE_BLUE	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	BIKE_BLACK	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	GEARS_14	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	GEARS_21	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	BRAKES_DISC	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	BRAKES_RIM	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	GC_BIKEVAR	1000				0	E	0	0	0	0	0		0010	EX	PD	000	1	0			000	000	0				0	0				0					0				1				00		GC_BIKE	40	0	0	0			000	000		0	0
800	BIKE_NEW_GREEN	1000				0	F	0	0	0	0	0			EX	PD	000	0	0			000	000	0				0	0				0					1								00			10	0	0	0			000	000		0	0
800	SHARI01	1000				0	F	0	0	0	0	0		0031	EX	P2	001	0	0			001	030	0				0	0		A		0					28								00				0	0	0			000	000		0	0
800	T100-100	1000	2			0	X	0	0	0	0	0			EX	PD	020	0	0	DE2		001	000	0				0	0				0	1	40			20		0000001010		2				00			40	0	0	0			030	030	2	0	2
800	000000000000000058	1000				0		0	0	0	0	0						0	0				000	0				0	0				0					0								00				0	0	0			000	000		0	0
